orient,distractor,kappa,subject,resp,respRT,acc,traj
11,0.15,100,3,14,1.364923954,3,-94
155,0,100,3,166,1.470882893,11,88
170,0.15,100,3,169,1.03553009,-1,64
144,0.15,100,3,135,2.42374301,-9,46
162,1,100,3,9,2.553550005,27,-40
143,0.15,100,3,152,1.212378979,9,96
134,1,50,3,153,0.671208143,19,142
101,0.15,50,3,87.5,1.164954185,-13.5,-5.5
117,0.15,5000,3,120,1.835504055,3,-40
156,1,100,3,154,1.059257984,-2,58
61,1,50,3,53,1.388439894,-8,-98
16,1,100,3,40,0.894344091,24,-52
146,1,5000,3,133,1.930039167,-13,62
12,1,50,3,29,1.235917091,17,-38
90,1,5000,3,85.5,2.306431055,-4.5,75.5
64,0.15,100,3,67,1.247549057,3,-112
63,0,100,3,55,1.25901103,-8,-19
73,0,100,3,71,0.71787405,-2,-24
90,0,5000,3,88,1.141409159,-2,86
72,1,100,3,76,1.08258009,4,-64
45,0.15,100,3,53.5,1.718276024,8.5,-46.5
92,0.15,50,3,65,2.070759058,-27,-58
17,0,100,3,24,1.047331095,7,-60
163,0.15,5000,3,149,1.482563972,-14,-8
63,0.15,50,3,75,0.706115007,12,-26
88,0.15,100,3,80.5,2.176690102,-7.5,30.5
30,0.15,5000,3,49,1.259447813,19,-70
145,0,5000,3,153,1.894287109,8,26
89,0,5000,3,101.5,2.329632044,12.5,18.5
61,0,50,3,81,2.517873049,20,74
179,0,100,3,2.5,1.553288937,3.5,-1.5
116,1,100,3,105.5,2.294430017,-10.5,88.5
134,0,5000,3,144,1.047268152,10,-28
63,0.15,5000,3,64,0.670813084,1,-34
39,0.15,5000,3,41,0.682688951,2,-136
107,0,100,3,113,1.576795816,6,100
80,1,50,3,80.5,1.7651968,0.5,-27.5
121,0,100,3,106,0.741672039,-15,28
167,0.15,5000,3,165,1.165163994,-2,60
105,1,5000,3,105,0.600204945,0,16
72,0,50,3,65,0.611988068,-7,16
24,0.15,100,3,36,0.682620049,12,-20
152,0,5000,3,162,1.729870081,10,151
43,0,100,3,51.5,1.917818069,8.5,-41.5
157,1,5000,3,140,0.682499886,-17,-20
25,0,50,3,38.5,1.706201077,13.5,-57.5
30,0.15,50,3,149,2.553130865,-61,-2
6,1,50,3,9.5,1.800209999,3.5,-82.5
17,0,50,3,15,1.188457966,-2,-56
152,0,5000,3,137,1.847285032,-15,70
